zip,city,city_total,zip_total
20707,SILVER SPRING,193,1
20852,SILVER SPRING,193,56
20866,SILVER SPRING,193,5
20877,SILVER SPRING,193,50
20895,SILVER SPRING,193,14
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20901,SILVER SPRING,193,19
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20902,SILVER SPRING,193,40
20903,SILVER SPRING,193,6
20903,SILVER SPRING,193,6
20903,SILVER SPRING,193,6
20903,SILVER SPRING,193,6
20903,SILVER SPRING,193,6
20903,SILVER SPRING,193,6
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20904,SILVER SPRING,193,40
20905,SILVER SPRING,193,4
20905,SILVER SPRING,193,4
20905,SILVER SPRING,193,4
20905,SILVER SPRING,193,4
20906,SILVER SPRING,193,51
20906,SILVER SPRING,193,51
